unique_location,anticipation,disgust,joy,none,trust
-35.261339899999996_149.1323899,0,0,5.0,0,0
-35.267020350664_149.13180388323,2.0,0,2.0,1.0,0
-35.26725_149.13144,0,0,2.0,1.0,0
-35.267836701341_149.13240909576,0,0,2.0,0,1.0
-35.270421036443_149.13307457064,0,0,2.0,1.0,0
-35.271305462453_149.13146495818998,0,0,1.0,0,0
-35.271643048994_149.13319300068997,1.0,0,3.0,3.0,0
-35.27173_149.13326,1.0,0,2.0,2.0,0
-35.27187_149.13323,4.0,0,28.0,4.0,0
-35.271916030035_149.13174145987,0,0,1.0,0,0
-35.271933484388_149.13094692018,1.0,0,0,0,0
-35.271944444443996_149.13555555556002,6.0,1.0,20.0,13.0,0
-35.27196_149.13277,0,0,14.0,7.0,0
-35.2719994_149.13320919999998,1.0,0,3.0,3.0,0
-35.27204124117_149.13320302963,1.0,0,12.0,5.0,0
-35.27223_149.13272,3.0,0,6.0,8.0,0
-35.272420077011_149.13174659014,0,0,1.0,2.0,0
-35.2725_149.13268,1.0,0,2.0,0,0
-35.27265_149.1331,1.0,0,12.0,3.0,0
-35.272757271738_149.13272270879,3.0,0,5.0,1.0,0
-35.27277_149.13263999999998,1.0,0,0,0,0
-35.272868114966_149.13163671331998,0,0,6.0,4.0,0
-35.27295_149.13171,0,0,3.0,0,0
-35.2729917_149.1319561,0,0,0,1.0,0
-35.272_149.13321000000002,1.0,0,8.0,4.0,0
-35.273017889502_149.13170099258002,0,0,1.0,2.0,0
-35.27302_149.1326,0,0,10.0,6.0,1.0
-35.273126180059_149.13294338007,0,0,6.0,1.0,0
-35.273127378491004_149.13300991058,0,0,1.0,2.0,0
-35.27317555722_149.13305099352,3.0,0,42.0,3.0,0
-35.273275852268_149.13196789897,0,0,2.0,1.0,0
-35.273310228826_149.13189892852,0,0,5.0,0,0
-35.27349_149.13162,0,0,2.0,0,0
-35.273523083567_149.13249897735,0,0,1.0,0,0
-35.273574312173_149.13289396965,4.0,0,10.0,2.0,0
-35.27357_149.13612,0,0,1.0,0,0
-35.27366_149.13295,5.0,3.0,15.0,0,0
-35.273759999999996_149.13156999999998,0,0,1.0,0,0
-35.273786912615_149.13264088446002,0,0,1.0,0,0
-35.273857352472_149.13284057465,0,0,0,1.0,0
-35.273901_149.13218799999999,0,0,1.0,0,0
-35.27391_149.1329,0,0,0,1.0,0
-35.274190000000004_149.13286000000002,0,0,3.0,0,0
-35.274213501248_149.13725852966002,0,0,1.0,1.0,0
-35.2746799_149.13233,4.0,0,34.0,8.0,1.0
-35.27472_149.13278,1.0,0,0,0,0
-35.274760143695005_149.13265897508,0,0,5.0,0,0
-35.274859899999996_149.13021,0,0,2.0,0,0
-35.274921591666995_149.13099069111001,0,0,1.0,0,0
-35.27493_149.13085,0,0,4.0,1.0,0
-35.2749499_149.13228999999998,0,0,7.0,1.0,0
-35.27499475_149.1322951,0,0,1.0,0,0
-35.27499_149.13138,0,0,8.0,1.0,0
-35.27507967626_149.14286936870002,2.0,0,1.0,1.0,0
-35.275097961539004_149.13272749562,0,0,1.0,0,0
-35.275220000000004_149.13224,1.0,0,18.0,3.0,0
-35.275250142473_149.13239115863,0,0,3.0,0,0
-35.275260917663005_149.13232908778,0,0,2.0,1.0,0
-35.275490000000005_149.13011,0,0,1.0,0,0
-35.275951388416_149.13157897941002,2.0,0,5.0,2.0,0
-35.275965651005_149.14264099477,0,0,5.0,1.0,0
-35.275999999999996_149.13235,0,0,6.0,1.0,0
-35.275_149.13299999999998,0,0,0,1.0,0
-35.277735131366_149.13757681443002,0,0,7.0,0,0
-35.2778841_149.13736550000002,0,0,0,1.0,0
-35.278006252246_149.13774030839,0,0,0,2.0,1.0
-35.2781296_149.13772580000003,0,0,2.0,2.0,0
