unique_location,anger,anticipation,disgust,joy,none,trust
-35.261339899999996_149.1323899,0,0,0,5.0,0,0
-35.26725_149.13144,0,3.0,0,6.0,0,0
-35.270051_149.13637580000002,0,0,0,1.0,0,0
-35.270857773142_149.13289571815,0,0,0,0,1.0,0
-35.271305462453_149.13146495818998,0,0,0,2.0,3.0,0
-35.271643048994_149.13319300068997,0,0,0,5.0,1.0,0
-35.27172_149.13072,0,0,0,1.0,0,0
-35.27173_149.13326,0,0,0,2.0,0,0
-35.27187_149.13323,0,0,0,15.0,1.0,0
-35.271944444443996_149.13555555556002,0,3.0,1.0,22.0,13.0,0
-35.27196_149.13277,0,1.0,0,8.0,3.0,0
-35.2719994_149.13320919999998,1.0,0,0,3.0,1.0,0
-35.27204124117_149.13320302963,0,2.0,0,10.0,0,0
-35.272054_149.133206,0,0,0,1.0,0,0
-35.27223_149.13272,0,2.0,0,10.0,6.0,0
-35.272244_149.132652,0,0,0,1.0,0,0
-35.2725_149.13268,0,0,0,0,1.0,0
-35.27265_149.1331,0,0,0,8.0,0,0
-35.27277_149.13263999999998,0,0,0,6.0,0,0
-35.272872_149.13278300000002,0,0,0,1.0,0,0
-35.27295_149.13171,0,0,0,1.0,0,0
-35.272_149.13067,0,0,0,1.0,0,0
-35.272_149.13321000000002,0,1.0,0,3.0,3.0,0
-35.273017889502_149.13170099258002,0,0,0,1.0,0,0
-35.27302_149.1326,0,0,0,10.0,6.0,0
-35.273126180059_149.13294338007,0,1.0,0,5.0,2.0,0
-35.273127378491004_149.13300991058,0,1.0,0,1.0,0,0
-35.27317555722_149.13305099352,0,0,0,19.0,5.0,0
-35.273275852268_149.13196789897,0,1.0,0,2.0,1.0,0
-35.273310228826_149.13189892852,0,0,0,17.0,1.0,0
-35.27357_149.13612,0,0,0,1.0,0,0
-35.27366_149.13295,0,2.0,1.0,19.0,3.0,0
-35.273759999999996_149.13156999999998,0,0,0,1.0,0,0
-35.273901_149.13218799999999,0,0,0,2.0,0,0
-35.27391_149.1329,0,0,0,1.0,0,0
-35.27418_149.13031999999998,0,0,0,1.0,0,0
-35.2742386_149.1309662,0,0,0,1.0,0,1.0
-35.2744799_149.13677990000002,0,0,0,0,1.0,0
-35.27458_149.13144,0,0,0,1.0,0,0
-35.27462_149.13833,0,0,0,0,2.0,0
-35.274658_149.13003999999998,0,0,0,0,1.0,0
-35.2746799_149.13233,0,1.0,0,20.0,4.0,0
-35.274859899999996_149.13021,0,0,0,0,1.0,0
-35.27493_149.13085,0,0,0,3.0,2.0,0
-35.2749499_149.13228999999998,0,0,0,7.0,0,0
-35.27498_149.13243,0,0,0,1.0,0,0
-35.27499_149.13138,0,0,0,1.0,1.0,0
-35.27499_149.13273,0,0,0,1.0,2.0,0
-35.275219_149.13223269999997,0,0,0,6.0,3.0,0
-35.275220000000004_149.13224,0,0,0,18.0,5.0,1.0
-35.275490000000005_149.13011,0,0,0,2.0,0,0
-35.27562807_149.1306764,0,0,0,1.0,0,0
-35.275909464496_149.142669873,0,1.0,0,3.0,0,0
-35.275909999999996_149.13348,0,0,0,2.0,0,0
-35.275951388416_149.13157897941002,0,0,0,2.0,0,0
-35.275999999999996_149.13235,0,2.0,0,6.0,5.0,0
-35.277404_149.140075,0,0,0,0,1.0,0
-35.277541851254_149.13678646088002,0,0,0,0,2.0,0
-35.277735131366_149.13757681443002,0,0,0,3.0,2.0,0
-35.2778841_149.13736550000002,0,1.0,0,1.0,1.0,0
-35.278006252246_149.13774030839,0,0,0,1.0,1.0,0
-35.2781296_149.13772580000003,0,1.0,0,5.0,0,0
-35.27813_149.13772,0,0,0,1.0,0,0
-35.27855_149.13703999999998,0,0,0,3.0,3.0,0
