unique_location,anger,anticipation,disgust,joy,none,trust
-35.261339899999996_149.1323899,0,1.0,0,29.0,0,0
-35.264557700000005_149.1316814,0,0,0,3.0,1.0,0
-35.266365060847995_149.13155078888,0,1.0,0,0,0,0
-35.2668_149.137,0,0,0,1.0,1.0,0
-35.2669451_149.1313002,0,2.0,0,14.0,2.0,1.0
-35.267020350664_149.13180388323,0,2.0,0,2.0,1.0,0
-35.26725_149.13144,0,6.0,0,23.0,8.0,0
-35.26732_149.131529,0,1.0,0,0,0,0
-35.267807399999995_149.13631709999999,0,0,0,1.0,0,0
-35.267836701341_149.13240909576,0,0,0,2.0,0,1.0
-35.270051_149.13637580000002,0,0,0,1.0,0,0
-35.270421036443_149.13307457064,0,0,0,2.0,1.0,0
-35.270539989597_149.13092766351002,0,0,0,2.0,0,0
-35.270857773142_149.13289571815,0,0,0,2.0,2.0,0
-35.271200350662_149.13296699524,0,1.0,0,16.0,2.0,0
-35.271305462453_149.13146495818998,0,7.0,4.0,22.0,13.0,0
-35.27159_149.13417990000002,0,0,0,1.0,0,0
-35.271643048994_149.13319300068997,0,4.0,0,19.0,8.0,1.0
-35.271728499999995_149.133255,0,6.0,0,10.0,2.0,0
-35.27172_149.13072,0,0,0,1.0,0,0
-35.27173_149.13326,0,1.0,0,10.0,3.0,0
-35.27187_149.13323,0,9.0,1.0,118.0,13.0,1.0
-35.271916030035_149.13174145987,0,0,0,1.0,0,0
-35.271933484388_149.13094692018,0,1.0,0,0,0,0
-35.271944444443996_149.13555555556002,0,23.0,3.0,125.0,65.0,1.0
-35.27196_149.13277,0,4.0,0,31.0,17.0,0
-35.2719994_149.13320919999998,1.0,1.0,0,18.0,5.0,0
-35.27204124117_149.13320302963,0,4.0,0,24.0,6.0,0
-35.272054_149.133206,0,0,0,1.0,0,0
-35.2722015_149.134079,0,0,0,2.0,0,0
-35.27223_149.13272,0,11.0,0,38.0,33.0,0
-35.272244_149.132652,0,0,0,1.0,0,0
-35.272420077011_149.13174659014,0,0,0,4.0,5.0,0
-35.2725_149.13268,0,4.0,0,5.0,2.0,0
-35.27265_149.1331,0,4.0,0,46.0,6.0,0
-35.272713_149.138014,0,0,0,2.0,0,0
-35.272757271738_149.13272270879,0,3.0,0,5.0,1.0,0
-35.27277_149.13263999999998,0,2.0,1.0,29.0,7.0,0
-35.272868114966_149.13163671331998,0,0,0,6.0,4.0,0
-35.272872_149.13278300000002,0,0,0,5.0,0,0
-35.27289218_149.13284808,0,0,0,1.0,0,0
-35.27295_149.13171,0,1.0,0,18.0,1.0,0
-35.2729917_149.1319561,0,0,0,0,1.0,0
-35.272_149.13067,0,0,0,7.0,0,0
-35.272_149.13321000000002,0,13.0,1.0,64.0,33.0,1.0
-35.273017889502_149.13170099258002,0,0,0,7.0,2.0,0
-35.27302_149.1326,0,2.0,3.0,69.0,32.0,1.0
-35.273126180059_149.13294338007,0,3.0,0,28.0,4.0,0
-35.273127378491004_149.13300991058,0,1.0,0,20.0,6.0,0
-35.27317555722_149.13305099352,0,11.0,1.0,168.0,45.0,7.0
-35.273275852268_149.13196789897,0,2.0,0,35.0,18.0,0
-35.273310228826_149.13189892852,0,0,0,27.0,4.0,0
-35.27337379863_149.13277587084,0,0,0,0,1.0,0
-35.27349_149.13162,0,0,0,2.0,0,0
-35.273523083567_149.13249897735,0,0,0,1.0,0,0
-35.273574312173_149.13289396965,0,4.0,0,10.0,2.0,0
-35.27357_149.13612,0,0,0,3.0,0,0
-35.27366_149.13295,0,14.0,7.0,146.0,34.0,2.0
-35.273759999999996_149.13156999999998,0,0,0,4.0,2.0,0
-35.273786912615_149.13264088446002,0,0,0,1.0,0,0
-35.273857352472_149.13284057465,0,0,0,0,1.0,0
-35.273901_149.13218799999999,0,2.0,0,13.0,1.0,0
-35.27391_149.1329,0,0,0,1.0,4.0,0
-35.27418_149.13031999999998,0,0,0,3.0,2.0,0
-35.27418_149.13272,0,0,0,1.0,0,0
-35.274190000000004_149.13286000000002,0,1.0,0,5.0,1.0,0
-35.274213501248_149.13725852966002,0,0,0,1.0,1.0,0
-35.2742386_149.1309662,0,2.0,0,4.0,0,1.0
-35.274409999999996_149.13237,0,2.0,0,2.0,1.0,0
-35.274411209365_149.13721229357,0,2.0,0,7.0,1.0,0
-35.2744799_149.13677990000002,0,0,0,0,2.0,0
-35.27458_149.13144,0,0,0,1.0,0,0
-35.27462_149.13833,0,0,0,0,2.0,0
-35.274637_149.131427,0,0,0,3.0,0,0
-35.274658_149.13003999999998,0,0,0,2.0,1.0,0
-35.2746799_149.13233,0,13.0,0,159.0,33.0,2.0
-35.27472_149.13278,0,1.0,0,10.0,1.0,0
-35.274760143695005_149.13265897508,0,0,0,5.0,0,0
-35.274854362044_149.13255546211,0,0,0,10.0,0,0
-35.274859899999996_149.13021,0,0,0,20.0,4.0,0
-35.274921591666995_149.13099069111001,0,0,0,1.0,0,0
-35.27493_149.13085,0,1.0,1.0,26.0,6.0,0
-35.2749499_149.13228999999998,0,0,0,35.0,2.0,0
-35.27495_149.13228999999998,0,1.0,0,0,0,0
-35.27498_149.13243,0,0,0,10.0,3.0,0
-35.27499475_149.1322951,0,0,0,1.0,0,0
-35.27499_149.13138,0,1.0,2.0,41.0,16.0,0
-35.27499_149.13273,0,2.0,0,8.0,6.0,0
-35.27507967626_149.14286936870002,0,2.0,0,1.0,1.0,0
-35.275097961539004_149.13272749562,0,0,0,1.0,0,0
-35.275219_149.13223269999997,0,5.0,0,37.0,15.0,0
-35.275220000000004_149.13224,0,12.0,0,99.0,22.0,1.0
-35.275250142473_149.13239115863,0,0,0,3.0,0,0
-35.275260917663005_149.13232908778,0,0,0,2.0,1.0,0
-35.275490000000005_149.13011,0,0,0,3.0,0,0
-35.275490000000005_149.1322,0,0,0,2.0,0,0
-35.2755_149.13263999999998,0,5.0,0,6.0,3.0,0
-35.27562807_149.1306764,0,0,0,2.0,1.0,0
-35.275787885556_149.14313348987,0,0,0,2.0,1.0,0
-35.275909464496_149.142669873,0,9.0,0,34.0,20.0,0
-35.275909999999996_149.13348,0,0,0,3.0,0,0
-35.275951388416_149.13157897941002,0,2.0,2.0,12.0,7.0,0
-35.275965651005_149.14264099477,0,0,0,5.0,1.0,0
-35.275999999999996_149.13235,0,2.0,0,32.0,12.0,0
-35.275_149.13299999999998,0,0,0,2.0,1.0,0
-35.276167389823_149.14215836788,0,2.0,0,20.0,10.0,1.0
-35.27647_149.1398,0,0,0,1.0,1.0,0
-35.277404_149.140075,0,0,0,0,1.0,0
-35.277541851254_149.13678646088002,0,0,0,0,2.0,0
-35.277685893302_149.13760779123,0,0,0,1.0,1.0,0
-35.277735131366_149.13757681443002,0,0,0,22.0,2.0,0
-35.2778841_149.13736550000002,0,1.0,0,1.0,2.0,0
-35.278006252246_149.13774030839,0,2.0,0,7.0,6.0,2.0
-35.2781296_149.13772580000003,0,1.0,0,11.0,3.0,0
-35.27813_149.13772,0,0,0,1.0,2.0,0
-35.27855_149.13703999999998,0,0,0,7.0,3.0,0
